COUNTRY,CHAMBER,GENDER,AGE,PROFESSION,,CODING ,
Afghanistan,UPPER,M,42,Head of Provincial Council of Nengarhar,,1,
Afghanistan,UPPER,n/a,n/a,Formar Senator,,1,
Afghanistan,UPPER,M,38,Chef of construction company ,,2,
Afghanistan,UPPER,M,38,Managar of Islamic School at Khost Province,,4,
Afghanistan,UPPER,M,48,Director of Qazan chi Baba school ,,4,
Afghanistan,UPPER,M,40,Funder and Member of Scholer Council Balkh Province ,,4,
Afghanistan,UPPER,M,40,Represntative of parwan provence council,,1,
Afghanistan,UPPER,M,43,Teacher of Islamic Culture,,4,
Afghanistan,UPPER,M,37,Employee in Govenmental administrations,,1,
Afghanistan,UPPER,M,38,Presindent of Faryab provencial council,,1,
Afghanistan,UPPER,M,48,Chief of Constriction Company,,2,
Afghanistan,UPPER,M,42,n/a,,6,
Afghanistan,UPPER,M,48,Chief of Bakhter organization,,5,
Afghanistan,UPPER,n/a,n/a,n/a,,6,
Afghanistan,UPPER,M,38,Chife of people council in Kapisa province,,1,
Afghanistan,UPPER,M,38,Senior adviser of Noristan Governer ,,1,
Afghanistan,UPPER,M,55,Member of Provincial Council of Kondoz,,1,
Afghanistan,UPPER,M,40,Staff of Independent Election Commission ,,5,
Afghanistan,UPPER,M,37,Medical Superviser in Mirlin Kaff Organization,,3,
Afghanistan,UPPER,M,44,Staff of Rahi Farda Radio and Telvation Media Center,,5,
Afghanistan,UPPER,M,38,Chief of Constraction Company ,,2,
Afghanistan,UPPER,F,46,Member of Provincial Council of Badakhshan,,1,
Afghanistan,UPPER,M,55,N/A,,6,
Afghanistan,UPPER,n/a,n/a,Former Senator,,1,
Afghanistan,UPPER,M,42,Teacher in Farah Province,,4,
Afghanistan,UPPER,M,52,Former Senator,,1,
Afghanistan,UPPER,n/a,n/a,Former Senator,,1,
Afghanistan,UPPER,M,45,Member of Provincial Council in Faryab Province,,1,
Afghanistan,UPPER,M,59,Advocator in Ghoor Province Appeal Court ,,1,
Afghanistan,UPPER,M,41,Member of Provincial Council of Guzjan Province,,1,
Afghanistan,UPPER,M,41,N/A,,6,
Afghanistan,UPPER,F,44,Member of Provincial Council of Herat province,,1,
Afghanistan,UPPER,F,37,"Teacher,Member of Niem Roz Provincial council",,4,
Afghanistan,UPPER,n/a,n/a,n/a,,6,
Afghanistan,UPPER,M,73,35 years worked as security proffecianal ,,5,
Afghanistan,UPPER,n/a,n/a,Formar Senator ,,1,
Afghanistan,UPPER,F,56,Teacher in Yaka Tot school,,4,
Afghanistan,UPPER,F,66,Chef of women affair in Faryab province,,1,
Albania ,UNICAMERAL,M,18.01.1951,University teacher,,4,
Albania ,UNICAMERAL,M,30.09.1957,Economist,,3,
Albania ,UNICAMERAL,M,06.10.1970,Journalist,,5,
Albania ,UNICAMERAL,M,09.08.1971,Economist,,3,
Albania ,UNICAMERAL,M,13.04.1967,Military officer,,5,
Albania ,UNICAMERAL,M,28.06.1969,Economist,,3,
Albania ,UNICAMERAL,M,21.04.1966,Jurist,,3,
Albania ,UNICAMERAL,M,19.09.1961,Economist,,3,
Albania ,UNICAMERAL,M,26.05.1971,Jurist,,3,
Albania ,UNICAMERAL,M,26.06.1974,jurist,,3,
Albania ,UNICAMERAL,F,15.03.1953,University teacher ,,4,
Albania ,UNICAMERAL,M,14.05.1969,Sculptor ,,5,
Albania ,UNICAMERAL,M,15.11.1967,Jurist,,3,
Albania ,UNICAMERAL,M,21.03.1966,Doctor,,3,
Albania ,UNICAMERAL,M,12.10.1962,Economist,,3,
Albania ,UNICAMERAL,M,01.01.1969,Journalist,,5,
Albania ,UNICAMERAL,M,12.03.1956,Chemistry engineer,,3,
Albania ,UNICAMERAL,M,17.01.1971,Electric engineer,,3,
Albania ,UNICAMERAL,M,25.05.1972,Jurist,,3,
Albania ,UNICAMERAL,M,19.03.1960,Jurist,,3,
Albania ,UNICAMERAL,M,24.03.1977,Jurisprudence,,3,
Albania ,UNICAMERAL,M,01.04.1968,Bio-chemistry,,3,
Albania ,UNICAMERAL,F,24.11.1968,Social Sciences,,5,
Albania ,UNICAMERAL,M,12.02.1968,doctor,,3,
Albania ,UNICAMERAL,F,13.09.1971,linguist,,5,
Albania ,UNICAMERAL,M,02.04.1972,Economist,,3,
Albania ,UNICAMERAL,F,05.01.1957,University teacher,,4,
Albania ,UNICAMERAL,F,09.11.1976,Prosecutor,,3,
Albania ,UNICAMERAL,M,05.04.1975,Economist,,3,
Albania ,UNICAMERAL,M,08.12.1947,University teacher,,4,
Albania ,UNICAMERAL,M,17.05.1959,Jurist,,3,
